breaks,wool,tension
26.0,A,L
30.0,A,L
54.0,A,L
25.0,A,L
70.0,A,L
52.0,A,L
51.0,A,L
26.0,A,L
67.0,A,L
18.0,A,M
21.0,A,M
29.0,A,M
17.0,A,M
12.0,A,M
18.0,A,M
35.0,A,M
30.0,A,M
36.0,A,M
36.0,A,H
21.0,A,H
24.0,A,H
18.0,A,H
10.0,A,H
43.0,A,H
28.0,A,H
15.0,A,H
26.0,A,H
27.0,B,L
14.0,B,L
29.0,B,L
19.0,B,L
29.0,B,L
31.0,B,L
41.0,B,L
20.0,B,L
44.0,B,L
42.0,B,M
26.0,B,M
19.0,B,M
16.0,B,M
39.0,B,M
28.0,B,M
21.0,B,M
39.0,B,M
29.0,B,M
20.0,B,H
21.0,B,H
24.0,B,H
17.0,B,H
13.0,B,H
15.0,B,H
15.0,B,H
16.0,B,H
28.0,B,H
